,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN3920_c0_g1,42,6,39,33,10,0,1,10,2,24,4,20,30,6,11,10,1,3,33,6,15,13,17,2,4,1
TRINITY_DN3921_c0_g1,14,28,14,11,11,23,21,14,9,11,16,21,11,14,9,4,22,22,11,30,24,3,7,20,28,18
TRINITY_DN3922_c0_g1,63,106,51,62,159,81,136,58,309,145,125,179,91,0,47,45,95,46,0,0,1,0,28,30,51,63
TRINITY_DN3923_c0_g1,14,5,4,5,4,2,0,10,6,8,5,10,4,7,4,6,3,3,4,6,5,5,1,2,1,6
TRINITY_DN3924_c0_g1,4,39,29,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,8,10,17,20,16
TRINITY_DN3925_c0_g1,1,16,0,1,0,13,8,2,9,0,13,1,0,1,1,0,8,8,3,18,19,2,1,10,13,15
TRINITY_DN3926_c0_g1,203,122,76,190,94,56,63,99,83,97,45,66,106,107,59,53,92,96,63,131,122,74,58,109,83,134
TRINITY_DN3927_c0_g1,6,0,35,9,35,0,5,38,3,20,0,58,36,66,21,19,8,4,24,2,6,13,13,7,4,8
TRINITY_DN3928_c0_g1,3,1,1,2,6,2,3,1,0,1,3,0,4,7,2,2,3,1,4,1,0,0,3,5,3,1
TRINITY_DN3930_c0_g1,8,15,1,1,8,16,23,6,9,3,11,7,12,5,2,1,8,3,8,19,9,3,1,4,7,7
TRINITY_DN3931_c0_g1,2,5,1,3,1,5,2,1,7,0,0,2,0,2,2,2,9,5,10,3,9,1,3,8,16,14
TRINITY_DN3932_c0_g1,12,0,0,4,1,2,0,0,0,1,0,1,1,1,4,1,3,3,0,22,11,1,0,1,0,0
TRINITY_DN3933_c0_g1,9,6,3,4,5,7,9,11,2,3,5,6,6,3,5,4,8,7,8,17,14,3,0,9,3,9
TRINITY_DN3934_c0_g1,7,40,7,13,9,16,13,10,15,2,7,5,5,18,3,3,14,10,9,22,20,7,3,11,13,7
TRINITY_DN3935_c0_g1,5,15,12,2,8,9,11,12,13,4,3,7,3,17,5,7,15,5,11,12,8,3,7,6,17,8
TRINITY_DN3936_c0_g1,10,1,4,2,1,2,1,2,1,5,0,5,3,4,5,3,3,0,3,2,0,4,3,6,0,0
TRINITY_DN3937_c0_g1,20,35,21,19,18,16,22,23,16,11,11,10,15,24,6,11,20,9,20,34,49,11,10,13,24,19
TRINITY_DN3938_c0_g1,14,7,1,2,2,2,4,6,5,4,1,4,3,2,2,4,0,3,3,24,12,2,3,6,12,6
TRINITY_DN393_c0_g1,87,45,55,53,31,36,45,47,56,30,23,53,37,28,38,33,35,15,56,61,53,56,33,46,45,38
TRINITY_DN3940_c0_g1,33,11,27,27,34,2,11,19,13,25,9,33,77,67,19,23,16,8,24,11,8,28,16,5,13,8
TRINITY_DN3941_c0_g1,3,1,1,4,2,2,5,3,2,3,4,2,4,2,1,1,2,4,5,2,8,0,1,4,3,5
TRINITY_DN3942_c0_g1,3,19,1,5,2,16,8,15,30,9,12,6,6,14,4,2,24,17,2,16,9,0,10,16,24,23
TRINITY_DN3943_c0_g1,1,6,1,2,4,1,2,1,6,2,4,7,2,7,1,3,13,3,0,5,11,5,1,1,4,2
TRINITY_DN3944_c0_g1,22,28,18,8,37,50,68,44,34,21,38,36,40,42,5,11,21,7,19,43,47,12,28,26,68,43
TRINITY_DN3945_c0_g1,20,19,12,17,12,6,10,16,6,16,4,16,23,23,4,8,9,3,31,32,41,14,8,3,10,5
TRINITY_DN3946_c0_g1,0,28,0,466,102,76,0,211,0,1,0,0,1,0,0,5,31,18,39,45,0,0,1,0,0,0
TRINITY_DN3947_c0_g1,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRINITY_DN3948_c0_g1,23,18,8,6,22,41,42,24,0,10,9,19,5,14,4,8,37,23,6,49,36,0,6,11,11,14
TRINITY_DN3949_c0_g1,430,553,290,174,334,618,556,299,466,235,398,388,341,406,246,222,726,442,212,610,631,185,117,344,638,514
TRINITY_DN394_c0_g1,4,16,12,9,12,9,8,14,9,11,11,11,14,17,10,7,15,2,17,7,7,4,4,6,12,8
TRINITY_DN3950_c0_g1,5,8,2,1,4,0,2,4,4,1,3,4,2,5,2,1,3,0,5,3,4,1,4,4,4,6
TRINITY_DN3951_c0_g1,8,13,24,6,2,5,4,1,11,13,10,21,10,13,14,11,8,4,13,9,14,19,0,0,2,2
TRINITY_DN3952_c0_g1,40,23,32,10,38,3,11,28,16,21,21,46,50,56,29,16,23,17,48,31,17,27,13,3,10,6
TRINITY_DN3953_c0_g1,11,39,29,27,43,35,59,35,11,18,11,27,72,53,11,11,12,29,50,22,20,46,15,20,33,32
TRINITY_DN3954_c0_g1,0,0,0,0,8,0,0,0,0,21,5,1,0,0,9,0,9,1,0,0,0,0,0,0,0,0
TRINITY_DN3955_c0_g1,12,5,6,4,13,6,8,9,6,4,4,5,10,13,15,16,9,10,9,12,10,7,4,11,6,6
TRINITY_DN3956_c0_g1,5,19,14,12,1,0,5,3,3,1,2,2,4,5,2,2,6,3,1,9,10,3,1,2,2,2
TRINITY_DN3957_c0_g1,1,3,2,4,4,1,0,1,2,1,3,0,5,4,1,1,4,2,0,0,1,1,2,0,1,1
TRINITY_DN3958_c0_g1,20,16,7,12,4,2,5,7,17,2,1,2,20,21,7,8,8,3,9,18,19,7,4,16,18,11
TRINITY_DN395_c0_g1,23,12,7,5,13,6,2,11,9,8,20,6,8,24,13,6,9,9,12,10,19,10,4,2,8,5
TRINITY_DN3960_c0_g1,9,6,1,1,5,4,8,7,1,0,2,3,4,5,0,1,9,7,2,7,5,2,2,4,9,5
TRINITY_DN3961_c0_g1,10,55,10,4,4,11,23,10,12,3,23,14,8,9,1,4,12,14,7,13,14,9,5,10,16,19
TRINITY_DN3962_c0_g1,8,12,9,7,7,1,4,4,4,4,1,2,1,3,4,1,4,4,3,3,2,0,2,4,7,4
TRINITY_DN3963_c0_g1,7,3,5,1,6,7,3,12,3,3,6,5,11,7,0,1,7,2,7,1,5,4,3,5,6,1
TRINITY_DN3964_c0_g1,1,7,0,0,3,7,4,3,15,3,3,1,2,3,1,0,6,9,2,6,19,1,3,7,8,13
TRINITY_DN3965_c0_g1,1,3,1,2,0,3,1,0,7,1,0,2,2,0,0,0,1,0,0,1,1,1,2,4,2,3
TRINITY_DN3966_c0_g1,0,25,0,31,5,10,0,16,0,0,0,0,0,0,0,1,6,5,3,27,0,0,0,0,0,0
TRINITY_DN3967_c0_g1,5,17,4,3,1,5,4,0,0,11,3,6,0,0,1,1,16,25,5,3,4,3,1,3,0,3
TRINITY_DN3968_c0_g1,11,10,6,4,4,2,2,6,6,8,6,5,10,2,3,8,4,2,14,19,19,6,5,4,10,4
TRINITY_DN3969_c0_g1,0,16,0,59,12,27,0,26,0,0,0,0,0,0,0,1,5,3,4,24,0,0,1,0,0,1
TRINITY_DN3970_c1_g1,12,10,6,10,6,4,9,3,6,12,9,11,6,15,3,5,8,12,3,17,9,5,10,10,13,15
TRINITY_DN3971_c0_g1,34,169,192,137,241,129,233,176,33,386,469,655,392,130,55,90,90,37,66,87,83,98,131,53,139,71
TRINITY_DN3972_c0_g1,6,9,5,8,3,3,4,7,6,0,2,0,6,17,3,5,4,2,1,2,8,7,1,3,1,7
TRINITY_DN3973_c0_g1,2,2,5,5,1,0,0,7,0,3,1,4,3,9,3,5,3,1,3,0,1,5,1,0,2,0
TRINITY_DN3974_c0_g1,3,3,2,1,4,5,3,2,8,28,29,28,4,49,30,23,33,18,7,3,3,2,0,1,3,0
TRINITY_DN3975_c0_g1,8,7,11,9,11,4,4,18,6,10,3,18,17,20,11,8,2,5,11,2,3,7,5,3,4,3
TRINITY_DN3976_c0_g1,10,0,0,1,0,0,0,0,1,0,0,0,1,19,1,3,0,2,1,1,1,0,0,0,0,0
TRINITY_DN3977_c0_g1,2,14,2,0,0,4,0,2,4,0,4,0,0,4,0,3,5,5,1,7,11,0,0,9,5,9
TRINITY_DN3978_c0_g1,1,6,3,1,3,2,7,4,1,1,1,1,2,1,3,3,8,2,4,2,1,0,2,3,9,2
TRINITY_DN3979_c0_g1,10,18,6,5,7,7,4,4,7,4,10,7,8,7,3,3,3,2,2,6,7,6,4,1,5,5
TRINITY_DN3980_c0_g1,0,83,0,446,73,58,0,88,0,0,0,0,0,0,0,4,21,12,28,74,0,0,5,0,0,1
TRINITY_DN3981_c0_g1,8,4,1,2,4,4,5,4,3,5,1,1,3,7,6,4,3,0,10,5,2,8,2,7,6,4
TRINITY_DN3982_c0_g1,45,35,23,18,41,19,28,28,11,8,8,19,51,22,11,30,41,7,11,27,12,11,14,8,22,11
TRINITY_DN3983_c0_g1,8,7,7,8,5,5,7,5,3,7,2,3,16,16,3,5,8,4,7,2,1,7,5,3,11,6
TRINITY_DN3984_c0_g1,5,1,2,2,3,1,2,9,2,9,1,10,4,3,5,11,6,0,0,1,3,2,0,3,2,0
TRINITY_DN3985_c0_g1,2,0,14,8,10,25,27,9,2,6,0,14,22,11,11,9,1,0,10,0,0,16,7,3,1,2
TRINITY_DN3986_c0_g1,10,20,6,4,3,15,24,6,4,2,9,4,3,7,7,3,18,4,3,14,18,1,0,6,20,9
TRINITY_DN3987_c0_g1,6,7,8,10,9,6,12,4,5,6,2,3,12,15,8,10,15,9,4,12,2,1,8,7,8,11
TRINITY_DN3988_c0_g1,0,15,1,1,8,55,83,4,21,0,18,3,0,0,3,1,31,24,0,43,43,2,1,9,14,10
TRINITY_DN3989_c0_g1,8,59,4,7,0,35,65,6,16,0,1,0,6,4,7,7,85,26,0,13,31,0,0,3,5,2
TRINITY_DN398_c0_g1,16,83,9,22,47,112,134,40,61,13,72,27,34,29,12,14,101,42,8,180,178,8,9,63,89,83
TRINITY_DN398_c1_g1,18,63,4,11,18,46,43,15,81,12,26,4,27,13,7,7,29,18,13,20,29,7,23,50,70,88
TRINITY_DN3990_c0_g1,17,18,12,12,8,3,4,7,18,11,7,8,7,17,2,3,4,1,3,3,1,6,10,10,14,14
TRINITY_DN3991_c0_g1,19,20,6,7,19,5,14,22,9,17,14,11,10,14,12,8,12,12,16,8,13,9,12,16,8,17
TRINITY_DN3992_c0_g1,17,15,7,8,10,4,13,10,8,6,11,4,21,17,6,9,12,6,5,10,7,11,9,9,7,12
TRINITY_DN3993_c0_g1,8,4,2,3,1,3,3,5,2,1,1,1,5,2,1,1,1,1,0,7,1,2,0,0,2,2
TRINITY_DN3994_c0_g1,16,12,11,8,4,6,11,8,6,8,12,7,18,7,4,4,8,6,5,9,14,8,7,6,14,7
TRINITY_DN3995_c0_g1,2,2,6,3,13,4,6,8,5,10,2,11,7,5,3,6,4,3,8,2,0,6,4,3,3,4
TRINITY_DN3996_c0_g1,8,5,8,7,4,1,3,1,4,16,1,20,6,1,8,5,5,4,2,0,5,15,5,2,5,4
TRINITY_DN3997_c0_g1,28,17,15,9,17,6,10,15,2,5,4,8,21,23,10,18,13,8,16,8,17,8,4,1,2,7
TRINITY_DN3998_c0_g1,24,5,23,20,127,8,14,18,8,77,21,168,44,80,57,93,35,5,39,10,12,16,14,0,10,4
TRINITY_DN3999_c0_g1,12,2,2,2,2,0,2,4,3,3,4,2,3,1,4,1,5,0,0,1,0,2,0,1,2,1
TRINITY_DN399_c0_g1,260,168,134,96,227,101,95,214,71,111,82,160,250,238,62,96,94,45,137,135,112,61,112,87,127,93
TRINITY_DN4000_c0_g1,6,4,2,5,1,2,2,2,1,1,1,5,6,3,0,0,1,2,1,4,1,5,0,1,2,4
TRINITY_DN4001_c0_g1,455,665,318,317,385,394,542,420,476,155,359,377,564,460,141,175,400,88,307,433,388,301,127,171,484,239
TRINITY_DN4002_c0_g1,6,5,5,5,8,8,7,7,4,3,6,7,14,7,4,5,4,5,3,9,3,5,0,2,7,2
TRINITY_DN4003_c0_g1,8,38,8,4,4,25,24,10,24,4,11,6,10,14,4,2,31,20,7,28,19,9,1,12,27,22
TRINITY_DN4005_c0_g1,8,19,10,6,11,13,15,12,12,9,5,6,7,9,1,5,13,4,6,4,4,10,1,6,11,8
TRINITY_DN4006_c0_g1,0,0,0,1,0,0,1,0,0,2,0,3,2,2,2,3,1,3,2,2,3,3,1,2,0,1
TRINITY_DN4007_c0_g1,8,14,6,5,3,9,8,8,6,4,10,10,8,13,8,3,12,1,3,3,3,5,7,1,7,0
TRINITY_DN4008_c0_g1,6,3,3,1,2,3,1,3,1,4,0,6,1,3,2,1,0,0,1,0,0,1,3,0,1,2
TRINITY_DN4009_c0_g1,1,0,0,1,11,2,3,11,2,0,0,2,1,17,4,4,1,2,2,4,1,1,2,6,4,0
TRINITY_DN400_c0_g1,4,188,3,1394,335,153,2,486,1,2,1,1,9,7,0,24,35,41,87,272,12,40,295,0,3,26
TRINITY_DN4010_c0_g1,4,2,2,0,6,7,3,8,5,6,3,6,3,3,3,0,3,1,3,5,5,0,2,4,6,4
TRINITY_DN4011_c0_g1,4,3,2,2,1,0,1,2,0,5,5,3,1,2,1,4,1,1,2,2,3,2,3,1,2,1
TRINITY_DN4013_c0_g1,0,3,1,0,1,1,3,1,2,1,2,1,2,4,1,0,2,1,0,2,5,0,1,0,5,1
TRINITY_DN4014_c0_g1,1749,2924,1914,2153,1898,2009,2590,1368,2498,517,1197,969,2865,2080,513,821,1730,698,678,1075,1355,1214,1242,979,2338,1335
TRINITY_DN4015_c0_g1,1,8,2,2,16,4,5,16,2,5,1,7,5,0,4,5,0,1,2,1,1,4,2,1,0,0
TRINITY_DN4016_c0_g1,4,11,2,4,1,12,4,5,2,1,3,6,5,7,5,3,10,6,5,5,6,3,0,2,9,4
TRINITY_DN4017_c0_g1,1,4,1,2,3,3,2,4,5,1,9,5,4,8,2,1,4,2,3,3,2,3,5,2,2,5
TRINITY_DN4018_c0_g1,12,19,4,8,5,10,18,10,15,3,8,3,7,4,12,2,20,7,12,16,10,3,3,7,15,12
TRINITY_DN4019_c0_g1,10,19,19,19,25,7,7,15,8,7,17,7,44,64,4,6,21,1,3,6,5,11,13,9,10,9
TRINITY_DN4020_c0_g1,0,0,0,1,1,0,0,0,0,0,0,0,23,17,4,0,1,0,1,2,0,0,0,2,1,0
TRINITY_DN4021_c0_g1,9,0,6,4,0,2,2,2,0,3,2,3,7,1,0,2,4,4,2,6,4,5,0,1,2,5
TRINITY_DN4022_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,163,0,0,23
TRINITY_DN4023_c0_g1,16,9,10,13,24,4,10,16,4,7,2,21,13,16,22,28,9,3,21,2,2,12,14,7,25,8
TRINITY_DN4024_c0_g1,8,1,0,2,0,0,3,0,11,2,1,1,6,2,0,3,2,0,3,11,8,1,0,3,5,3
TRINITY_DN4025_c0_g1,12,10,6,46,9,8,13,6,10,7,4,6,11,11,4,6,5,3,2,23,9,3,5,8,6,10
TRINITY_DN4026_c0_g1,34,0,0,0,0,0,0,2,50,24,54,19,0,0,0,0,0,0,19,84,85,5,2,1,2,2
TRINITY_DN4027_c0_g1,2,0,8,5,7,0,0,5,0,20,0,26,16,5,3,3,2,1,2,0,0,7,6,0,1,2
TRINITY_DN4028_c0_g1,4,7,2,5,14,6,12,16,9,5,3,5,1,5,5,1,8,3,9,15,11,2,1,1,5,0
TRINITY_DN4029_c0_g1,6,2,3,1,2,1,0,1,0,1,4,2,5,4,3,2,3,0,5,4,3,3,0,0,2,3
TRINITY_DN402_c0_g1,62,75,66,41,91,57,42,129,36,47,34,88,51,59,34,42,36,17,28,26,32,52,35,42,59,44
TRINITY_DN4030_c0_g1,13,11,10,10,8,7,5,15,7,6,5,12,9,18,6,4,7,3,12,17,10,9,6,7,2,4
TRINITY_DN4031_c0_g1,7,0,2,0,2,4,1,10,3,5,1,2,10,9,1,2,1,0,7,2,1,1,0,0,0,0
TRINITY_DN4032_c0_g1,24,9,27,11,18,4,4,12,8,12,5,22,22,11,10,13,8,7,11,8,12,15,10,5,8,11
TRINITY_DN4033_c0_g1,4,7,2,4,3,4,6,2,6,2,5,0,5,1,3,1,10,0,9,8,3,0,0,0,6,2
TRINITY_DN4034_c0_g1,1,5,2,5,4,4,0,10,2,0,0,0,37,1,1,0,4,7,0,1,1,1,8,0,8,2
TRINITY_DN4035_c0_g1,1,0,5,1,9,1,3,5,1,1,1,0,3,1,0,0,0,0,3,8,4,2,2,0,0,1
TRINITY_DN4036_c0_g1,29,2,30,20,3,0,0,8,1,18,1,14,39,51,18,20,0,1,19,1,1,10,12,0,2,2
TRINITY_DN4038_c0_g1,13,22,5,0,14,19,12,17,19,1,3,4,6,10,15,10,37,37,7,27,20,1,6,13,15,25
TRINITY_DN4039_c0_g1,3,2,4,2,5,8,7,7,4,3,4,2,5,5,2,1,1,1,7,11,10,6,1,2,9,3
TRINITY_DN403_c0_g1,29,23,12,20,21,12,9,28,8,3,8,13,31,16,6,7,9,6,31,16,36,15,10,5,6,12
TRINITY_DN4040_c0_g1,3,10,2,0,1,6,9,1,7,1,3,0,2,0,0,0,8,5,1,8,8,1,2,4,5,7
TRINITY_DN4041_c0_g1,2,0,0,0,7,11,8,2,5,0,0,0,4,5,2,6,8,6,5,10,11,0,2,4,6,9
TRINITY_DN4042_c0_g1,1,4,1,0,0,2,0,0,1,0,1,0,3,1,0,0,2,1,1,1,3,0,0,3,4,3
TRINITY_DN4043_c0_g1,3,4,0,2,1,4,2,0,5,3,2,2,3,5,0,1,5,3,1,5,3,0,1,4,3,1
TRINITY_DN4044_c0_g1,6,4,6,2,13,0,1,4,1,10,1,6,11,7,2,2,4,3,3,0,3,3,4,2,1,3
TRINITY_DN4045_c0_g1,0,7,2,0,0,3,3,1,1,0,0,0,0,1,1,0,6,0,0,1,3,1,0,3,3,2
TRINITY_DN4046_c0_g1,4,3,2,1,6,1,5,0,2,2,0,5,3,1,2,0,1,0,1,3,4,0,0,1,1,0
TRINITY_DN4047_c0_g1,444,467,254,296,628,396,517,519,325,167,258,307,542,601,148,227,507,137,336,469,487,217,153,176,514,307
TRINITY_DN4048_c0_g1,7,2,5,1,2,0,1,4,1,3,1,0,4,3,2,1,2,1,5,9,6,3,2,4,5,6
TRINITY_DN4049_c0_g1,41,40,16,16,10,34,25,47,35,11,22,28,60,33,35,28,39,10,40,20,14,14,11,12,42,9
TRINITY_DN404_c0_g1,56,90,72,33,92,69,56,116,213,37,28,51,46,106,72,66,137,31,111,71,86,188,47,88,106,69
TRINITY_DN4050_c0_g1,13,7,9,2,3,11,9,13,2,6,5,6,4,5,0,3,4,5,3,6,5,3,7,2,5,1
TRINITY_DN4051_c0_g1,11,13,3,2,4,16,6,7,13,6,6,2,3,7,0,3,9,6,0,14,9,3,10,3,22,8
TRINITY_DN4052_c0_g1,36,44,16,14,18,22,21,15,17,3,9,15,37,32,12,19,26,9,24,14,23,11,9,5,29,10
TRINITY_DN4053_c0_g1,17,11,7,11,14,14,12,10,10,13,13,19,13,14,11,7,7,8,17,8,8,15,2,15,11,5
TRINITY_DN4054_c0_g1,32,4,18,8,31,3,1,25,12,18,2,24,11,15,8,5,5,1,18,1,4,20,18,5,5,11
TRINITY_DN4055_c0_g1,5,16,1,0,1,4,5,3,5,2,7,2,4,0,1,5,6,2,3,3,9,4,0,8,5,6
TRINITY_DN4056_c0_g1,11,14,5,1,1,6,6,10,0,3,6,3,4,4,0,2,9,2,4,5,6,3,2,3,10,3
TRINITY_DN4057_c0_g1,5,3,7,5,8,1,6,5,1,2,4,4,6,7,6,10,2,5,7,7,3,3,7,4,15,8
TRINITY_DN4058_c0_g1,3,3,2,2,1,4,2,8,2,1,1,0,5,4,5,5,2,1,29,26,40,3,3,2,3,3
TRINITY_DN4059_c0_g1,4,0,0,0,5,3,3,2,0,0,0,0,0,0,0,0,0,0,2,2,5,1,4,5,7,3
TRINITY_DN4061_c0_g1,1,9,0,1,5,6,6,4,8,10,8,6,2,7,14,17,21,22,7,10,9,2,3,4,8,8
TRINITY_DN4062_c0_g1,5,5,3,7,15,0,0,6,3,5,0,11,14,8,2,9,4,0,4,0,1,3,2,2,0,3
TRINITY_DN4063_c0_g1,17,3,13,14,4,3,3,10,4,5,4,10,12,11,7,8,6,6,4,4,2,14,11,4,4,3
TRINITY_DN4064_c0_g1,12,21,10,7,5,9,4,10,13,14,22,16,21,15,6,7,17,10,14,18,13,9,7,19,20,15
TRINITY_DN4065_c0_g1,1,5,0,1,1,3,1,2,3,1,4,1,4,3,2,2,7,0,4,4,4,3,0,1,0,2
TRINITY_DN4066_c0_g1,3,16,4,2,0,9,12,5,14,5,1,4,2,6,0,3,10,3,3,6,8,3,1,11,13,11
TRINITY_DN4067_c0_g1,2,18,4,3,6,21,15,7,3,1,6,2,2,4,1,0,1,4,3,17,7,2,0,3,12,10
TRINITY_DN4068_c0_g1,15,17,14,11,14,11,8,10,4,9,4,10,17,10,5,2,9,7,7,17,20,10,13,6,10,6
TRINITY_DN4069_c0_g1,2,6,0,0,1,3,6,1,6,1,5,0,1,0,0,0,3,1,1,4,2,0,0,4,11,10
TRINITY_DN406_c0_g1,9,13,11,6,3,1,0,3,0,5,2,4,3,8,0,0,2,1,0,1,0,13,0,1,2,0
TRINITY_DN4070_c0_g1,3,4,1,1,3,5,9,2,2,1,2,4,5,2,2,2,9,2,3,9,11,1,1,5,5,6
TRINITY_DN4071_c0_g1,5,5,7,3,7,0,1,10,0,5,2,6,4,1,0,0,2,0,1,1,0,1,5,2,1,0
TRINITY_DN4072_c0_g1,5,7,4,2,4,9,1,7,6,1,7,0,4,1,1,1,4,1,5,10,7,3,8,0,11,2
TRINITY_DN4073_c0_g1,6,9,4,2,2,3,0,1,7,3,4,3,3,10,1,3,3,3,9,2,0,2,0,2,5,7
TRINITY_DN4074_c0_g1,3,3,3,0,2,6,2,3,5,7,14,7,5,7,4,4,6,2,2,4,6,2,1,3,2,4
TRINITY_DN4075_c0_g1,1,3,8,5,10,5,12,5,5,4,12,6,6,9,4,0,2,1,5,2,2,4,4,5,8,9
TRINITY_DN4076_c0_g1,0,12,7,6,0,0,0,0,0,0,0,0,0,0,7,2,11,3,0,0,0,0,0,0,0,0
TRINITY_DN4077_c0_g1,14,21,4,9,17,16,19,7,14,8,23,16,35,7,4,4,6,5,11,33,27,9,21,18,23,38
TRINITY_DN4078_c0_g1,0,1,1,0,5,1,0,2,1,0,3,5,7,16,3,8,1,0,3,2,1,3,0,0,5,1
TRINITY_DN4079_c0_g1,23,6,4,2,15,18,21,9,3,12,2,11,12,22,6,4,14,18,3,14,9,10,10,8,10,12
TRINITY_DN407_c0_g1,23,32,10,14,22,35,29,17,32,14,7,20,21,12,15,11,11,19,19,39,33,19,10,26,24,24
TRINITY_DN4080_c0_g1,8,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,8,3,1,0,0,0,0,0
TRINITY_DN4081_c0_g1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,19,17,1,0,15,1,0,0,0,0,0,0
TRINITY_DN4082_c0_g1,3,3,1,4,3,1,1,4,2,8,3,1,3,4,1,3,1,0,0,2,2,2,2,2,4,1
TRINITY_DN4083_c0_g1,65,11,26,13,18,2,0,33,5,25,3,30,28,36,25,31,6,7,28,6,9,21,15,5,5,11
TRINITY_DN4084_c0_g1,0,13,0,14,4,2,0,5,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0
TRINITY_DN4085_c0_g1,7,25,4,9,16,10,6,9,13,9,11,6,15,10,7,8,9,13,8,22,26,6,6,6,13,11
TRINITY_DN4086_c0_g1,9,14,4,2,7,12,12,9,14,3,9,8,15,13,3,4,7,6,7,4,10,6,5,3,13,1
TRINITY_DN4087_c0_g1,0,6,8,9,5,2,1,7,7,11,7,6,4,5,6,3,4,3,4,4,2,6,8,10,5,10
TRINITY_DN4088_c0_g1,2,1,0,0,0,1,0,0,0,0,0,1,13,0,1,0,0,0,76,3,53,0,2,4,2,9
TRINITY_DN4089_c0_g1,14,44,20,11,8,31,29,18,9,9,14,12,13,29,6,10,16,12,12,36,34,8,19,16,37,29
TRINITY_DN4090_c0_g1,3,20,0,2,2,9,8,1,8,6,8,3,3,6,3,1,4,2,3,10,3,0,2,7,5,7
TRINITY_DN4091_c0_g1,14,13,13,11,10,22,21,7,13,5,13,12,11,7,7,3,12,6,8,11,10,7,3,6,7,4
TRINITY_DN4092_c0_g1,3,1,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4
TRINITY_DN4093_c0_g1,15,3,7,10,7,6,2,6,5,5,2,8,11,12,7,9,6,9,8,6,5,2,6,4,4,5
TRINITY_DN4094_c1_g1,6,5,3,1,5,11,7,12,2,1,5,5,8,5,2,5,7,4,3,2,3,3,3,1,3,6
TRINITY_DN4095_c0_g1,21,75,58,137,87,33,15,71,56,14,7,57,323,145,14,26,58,41,18,23,7,70,144,16,49,54
TRINITY_DN4096_c0_g1,14,18,7,10,12,28,23,8,17,5,10,7,9,8,6,5,22,8,9,24,25,8,4,8,25,16
TRINITY_DN4097_c0_g1,0,8,0,36,3,12,0,11,0,0,0,0,0,0,0,0,4,2,2,15,0,0,4,0,0,1
TRINITY_DN4098_c0_g1,6,2,4,3,5,2,2,9,0,5,5,4,11,13,3,2,3,2,3,4,4,5,1,4,6,7
TRINITY_DN4099_c0_g1,0,1,0,2,1,0,1,7,2,2,0,0,4,5,0,1,4,0,0,2,0,1,7,0,0,4
TRINITY_DN4100_c0_g1,26,0,4,16,21,0,0,58,0,0,0,3,94,26,0,9,0,0,0,0,0,2,3,0,1,1
TRINITY_DN4102_c0_g1,1,14,0,0,0,6,13,1,5,1,2,0,0,0,0,0,4,0,2,3,14,2,1,5,12,4
TRINITY_DN4103_c0_g1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,2,0,0,1
TRINITY_DN4104_c0_g1,3,4,1,2,3,4,8,4,7,2,8,4,3,1,1,2,4,3,4,9,1,2,4,2,2,3
TRINITY_DN4105_c0_g1,3,7,9,4,5,6,5,10,1,5,5,8,7,3,4,7,4,6,6,3,5,8,2,5,5,9
TRINITY_DN4106_c0_g1,6,1,6,5,7,2,2,6,1,5,3,4,3,5,7,2,4,0,4,0,1,4,3,3,2,2
TRINITY_DN4107_c0_g1,14,14,10,5,10,14,12,10,6,3,11,4,10,10,7,5,8,4,4,12,11,3,3,9,9,8
TRINITY_DN4108_c0_g1,17,1,5,4,18,2,2,5,0,8,0,11,17,16,4,3,7,0,16,4,11,2,1,4,2,9
TRINITY_DN4109_c0_g1,4,11,2,5,1,2,0,0,2,4,0,4,4,3,8,4,5,2,16,25,45,4,4,8,17,17
TRINITY_DN410_c0_g1,12,12,6,8,15,5,14,7,9,2,4,4,4,9,4,11,29,10,3,39,28,4,1,11,27,20
TRINITY_DN4110_c0_g1,3,0,5,4,0,0,1,0,1,2,1,1,2,0,4,1,1,0,3,5,1,9,2,1,2,1
TRINITY_DN4111_c0_g1,8,17,3,8,12,22,22,17,14,9,8,5,9,17,4,9,28,13,4,27,23,6,4,18,24,20
TRINITY_DN4112_c0_g1,0,2,9,4,4,0,1,3,0,2,1,1,3,2,2,2,0,0,2,1,0,0,2,3,1,1
TRINITY_DN4113_c0_g1,5,0,1,3,0,1,0,0,2,1,2,1,2,0,1,3,1,0,3,0,2,3,0,3,3,1
TRINITY_DN4114_c0_g1,47,34,18,45,49,20,19,84,11,19,16,57,65,82,21,28,34,5,66,24,35,21,14,7,15,7
TRINITY_DN4115_c0_g1,20,7,7,5,4,1,4,5,4,7,1,9,12,13,2,7,5,6,9,13,13,9,3,3,14,5
