,HA1,CA2,HB2,CB3,CB4,HB5,HB6,CC2,CC3,CD2,CD4,HD6,CF8,HK4,HN1,HO1,HO2,CO4,CQ2,HQ3,CQ4,CQ5,HQ6
TRINITY_DN3569_c0_g1,19,12,27,6,3,11,7,7,4,8,5,7,7,13,4,8,10,8,5,4,10,7,18
TRINITY_DN356_c0_g1,59,68,30,48,53,50,25,58,63,95,33,25,91,46,11,60,60,36,61,21,66,67,43
TRINITY_DN3570_c0_g1,22,8,9,5,8,8,5,3,5,9,0,2,10,14,2,13,18,5,5,10,2,4,0
TRINITY_DN3571_c0_g1,9,4,1,6,5,2,1,1,2,3,1,5,3,7,1,3,1,2,3,3,0,4,7
TRINITY_DN3572_c0_g1,3,4,10,0,2,1,1,3,0,4,4,5,6,2,1,5,3,2,0,2,2,4,0
TRINITY_DN3573_c0_g1,2,6,0,3,2,3,0,6,3,15,9,1,5,6,1,1,9,6,1,2,2,4,1
TRINITY_DN3574_c0_g1,7,3,9,3,3,5,4,6,3,8,1,0,13,4,1,4,2,2,2,0,3,4,4
TRINITY_DN3575_c0_g1,41,45,25,28,34,13,15,38,35,73,18,19,44,20,6,33,30,21,31,13,35,43,20
TRINITY_DN3576_c0_g1,1,4,2,0,0,0,3,0,0,29,2,1,1,1,1,0,0,1,3,0,2,27,3
TRINITY_DN3577_c0_g1,14,33,13,16,18,5,8,24,38,47,22,14,50,21,11,17,12,33,29,12,61,44,15
TRINITY_DN3578_c0_g1,3,3,7,7,3,3,4,6,4,6,2,2,7,2,1,3,5,4,3,3,6,4,0
TRINITY_DN3579_c0_g1,5,18,1,7,3,5,3,12,23,14,10,2,11,12,0,5,11,10,6,3,33,17,10
TRINITY_DN3580_c0_g1,2,4,7,4,4,1,0,4,7,7,3,3,5,3,1,3,4,4,5,1,6,7,6
TRINITY_DN3581_c0_g1,10,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,3,193,0,0,0,0,0
TRINITY_DN3583_c0_g1,13,17,30,6,4,5,5,16,2,20,5,2,9,13,5,20,12,14,10,5,19,4,17
TRINITY_DN3584_c0_g1,7,14,4,58,8,1,4,22,2,37,35,0,3,1,3,5,3,27,2,5,2,13,24
TRINITY_DN3585_c0_g1,5,2,4,4,2,3,1,7,4,8,1,4,4,1,1,1,2,5,0,1,3,3,2
TRINITY_DN3586_c0_g1,4,6,1,0,0,0,0,0,3,2,0,1,0,0,0,1,1,1,7,0,2,2,2
TRINITY_DN3587_c0_g1,0,0,0,3,0,0,0,1,0,8,0,0,4,0,0,0,0,3,1,0,2,0,0
TRINITY_DN3588_c0_g1,9,0,2,1,1,8,2,2,1,0,0,1,2,1,0,1,0,0,0,3,1,1,1
TRINITY_DN3589_c0_g1,0,0,0,0,0,0,0,381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN358_c0_g1,9,13,9,3,2,3,2,8,4,20,12,4,6,27,8,8,3,8,14,4,19,10,15
TRINITY_DN3591_c0_g1,4,3,1,4,4,2,2,4,4,6,6,1,12,4,0,7,5,1,0,2,5,5,4
TRINITY_DN3592_c0_g1,8,0,1,0,0,1,0,1,0,5,6,0,0,1,14,1,1,0,0,0,0,2,89
TRINITY_DN3593_c0_g1,27,21,10,7,11,2,3,13,19,10,48,1,17,3,22,1,2,11,9,3,249,36,16
TRINITY_DN3594_c0_g1,0,0,0,1,0,0,0,0,0,13,16,41,31,0,0,0,1,68,0,0,0,0,0
TRINITY_DN3596_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0
TRINITY_DN3597_c0_g1,5,4,3,4,2,5,4,3,1,6,1,7,6,2,1,6,2,2,8,6,1,10,12
TRINITY_DN3598_c0_g1,30,25,12,13,20,10,15,16,14,48,22,12,37,25,1,30,14,29,29,12,37,18,13
TRINITY_DN3599_c0_g1,8,5,2,1,2,3,1,6,4,7,3,2,2,3,3,5,5,5,8,1,6,5,7
TRINITY_DN359_c0_g1,158,180,226,114,117,97,120,131,94,174,29,35,160,73,36,113,130,114,117,60,80,122,134
TRINITY_DN3600_c0_g1,2,1,2,1,1,1,1,3,1,8,1,1,0,0,0,0,3,1,0,0,4,3,3
TRINITY_DN3601_c0_g1,8,5,9,1,3,6,2,2,7,16,5,1,2,1,9,35,4,2,6,3,6,9,8
TRINITY_DN3602_c0_g1,22,6,17,5,5,12,3,8,0,12,2,6,12,14,6,27,5,4,5,3,4,2,38
TRINITY_DN3603_c0_g1,15,12,8,3,1,5,1,3,4,16,2,3,3,12,2,17,0,3,8,7,6,10,5
TRINITY_DN3604_c0_g1,137,92,154,152,2,68,40,97,0,156,138,61,7,45,385,77,16,40,35,0,43,64,867
TRINITY_DN3605_c0_g1,0,4,0,3,1,5,3,0,0,7,1,2,0,3,0,0,2,5,3,0,4,20,0
TRINITY_DN3606_c0_g1,0,31,0,0,0,0,0,1,0,0,0,0,44,0,0,14,0,0,0,5,18,40,0
TRINITY_DN3607_c0_g1,1,11,2,4,10,6,7,6,4,10,4,1,5,1,1,2,5,4,4,3,8,8,4
TRINITY_DN3608_c0_g1,16,18,8,5,8,6,2,10,9,16,8,6,15,11,2,6,9,3,15,13,10,8,13
TRINITY_DN3609_c0_g1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,2
TRINITY_DN360_c0_g1,0,2,1,2,3,1,1,4,5,11,6,2,4,1,0,3,0,1,4,1,11,9,2
TRINITY_DN3610_c0_g1,5,6,23,4,2,7,8,13,5,19,12,9,7,14,2,12,9,10,7,4,25,14,14
TRINITY_DN3611_c0_g1,136,11,139,5,5,11,24,1,7,15,3,49,12,36,43,80,35,6,6,80,4,5,115
TRINITY_DN3612_c0_g1,5,11,7,5,6,7,2,6,3,9,4,3,12,5,2,4,4,8,3,9,6,16,21
TRINITY_DN3613_c0_g1,9,6,3,1,0,2,1,5,3,3,3,5,4,5,6,6,3,3,1,8,6,21,11
TRINITY_DN3616_c0_g1,4,12,17,4,2,6,8,9,8,12,4,4,1,6,4,8,1,4,8,1,8,1,3
TRINITY_DN3617_c0_g1,30,26,46,26,12,23,12,27,11,25,3,11,29,10,9,21,20,16,15,19,16,14,59
TRINITY_DN3618_c0_g1,27,29,31,2,8,14,13,11,6,20,14,13,16,22,17,24,19,15,18,2,45,23,46
TRINITY_DN3619_c0_g1,0,3,4,3,1,2,1,7,3,7,2,2,0,0,0,6,5,3,5,0,3,4,4
TRINITY_DN3620_c0_g1,4,3,3,0,0,0,0,2,3,2,8,0,1,0,1,2,2,2,1,5,4,2,4
TRINITY_DN3621_c0_g1,0,11,0,0,1,0,0,2,3,4,1,3,6,4,1,7,1,2,2,5,7,6,1
TRINITY_DN3622_c0_g1,7,6,4,0,1,6,2,2,0,9,4,1,6,1,1,4,6,7,5,0,0,2,10
TRINITY_DN3623_c0_g1,6,11,4,8,5,4,3,2,2,3,2,1,8,4,0,5,4,4,7,0,1,7,4
TRINITY_DN3624_c0_g1,9,3,6,0,2,3,3,1,2,3,0,13,1,5,0,12,4,1,0,1,2,3,6
TRINITY_DN3625_c0_g1,16,5,5,0,6,0,1,6,2,28,2,4,11,42,4,6,1,19,5,27,53,24,0
TRINITY_DN3626_c0_g1,3,11,14,3,16,17,2,7,7,13,5,7,5,7,0,8,18,3,7,2,10,10,3
TRINITY_DN3627_c0_g1,0,1,0,3,0,0,1,2,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0
TRINITY_DN3628_c0_g1,24,15,2,0,0,0,0,9,8,5,3,3,12,1,0,0,6,5,5,7,5,12,0
TRINITY_DN3629_c0_g1,5,3,2,0,1,0,0,3,6,6,9,1,3,2,2,2,2,3,6,4,3,5,2
TRINITY_DN362_c0_g1,114,109,183,89,71,115,94,124,123,115,24,58,79,122,65,143,78,89,104,64,68,154,192
TRINITY_DN3630_c0_g1,5,16,14,29,27,14,8,22,19,26,10,11,81,5,2,6,6,7,13,4,2,8,15
TRINITY_DN3631_c0_g1,18,15,7,15,6,5,0,9,14,16,3,3,21,12,5,5,9,5,8,5,26,13,13
TRINITY_DN3632_c0_g1,16,18,11,10,11,4,14,11,19,28,3,3,11,12,6,7,8,9,16,6,13,18,27
TRINITY_DN3633_c0_g1,0,17,2,7,1,1,5,7,3,18,3,0,10,1,0,1,1,5,6,1,11,11,3
TRINITY_DN3634_c0_g1,6,13,7,7,16,4,1,25,7,14,3,7,13,6,3,5,2,4,6,1,3,6,6
TRINITY_DN3635_c0_g1,4,2,6,4,2,3,0,8,3,5,0,6,10,2,3,4,4,10,5,3,12,8,3
TRINITY_DN3636_c0_g1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
TRINITY_DN3637_c0_g1,28,13,3,4,2,4,2,4,3,22,28,16,14,7,14,7,6,6,8,16,31,16,5
TRINITY_DN3638_c0_g1,1,1,9,1,0,3,3,0,1,2,0,2,3,5,0,0,1,0,0,0,0,0,9
TRINITY_DN3639_c0_g1,2,1,12,4,3,3,7,0,1,2,0,2,3,3,2,3,10,0,2,1,4,2,2
TRINITY_DN363_c0_g1,0,0,0,0,0,0,0,0,0,100,41,47,87,0,0,0,5,293,0,0,0,0,0
TRINITY_DN3640_c0_g1,4,6,1,0,0,2,2,1,4,15,5,2,2,8,1,4,3,4,4,0,7,4,8
TRINITY_DN3641_c0_g1,419,348,446,224,203,258,174,369,233,514,294,257,441,328,281,365,327,346,338,328,754,657,396
TRINITY_DN3642_c0_g1,13,12,14,14,30,15,8,14,18,37,13,6,17,10,8,16,14,9,11,4,16,11,14
TRINITY_DN3643_c0_g1,3,4,1,1,0,1,1,1,0,5,1,2,1,0,1,2,4,0,2,1,2,3,0
TRINITY_DN3644_c0_g1,2,6,3,2,2,1,3,1,1,3,1,0,0,0,0,2,3,0,1,0,2,2,9
TRINITY_DN3645_c0_g1,17,9,18,7,3,10,3,10,5,10,5,6,8,8,5,9,11,5,8,8,4,8,12
TRINITY_DN3646_c0_g1,15,26,26,10,17,19,11,7,5,19,6,10,11,9,8,20,11,13,11,3,6,17,24
TRINITY_DN3647_c0_g1,31,55,36,16,12,20,19,22,27,52,35,13,17,50,18,49,15,39,22,31,47,50,25
TRINITY_DN3648_c0_g1,2,4,6,1,1,3,0,3,2,4,5,2,2,5,4,5,9,1,5,0,6,9,4
TRINITY_DN3649_c0_g1,78,10,33,18,16,40,12,10,17,18,7,12,32,45,11,87,45,6,81,13,68,49,19
TRINITY_DN364_c0_g1,6,18,2,3,5,0,2,15,5,26,13,10,15,4,3,3,5,9,8,3,5,12,13
TRINITY_DN3650_c0_g1,0,0,1,2,0,5,1,3,0,4,0,3,1,3,1,3,1,1,0,3,3,5,5
TRINITY_DN3651_c0_g1,13,26,9,11,14,12,6,24,8,16,13,7,22,11,4,15,19,23,17,13,42,35,8
TRINITY_DN3652_c0_g1,0,0,0,0,0,0,0,0,0,3,3,1,14,0,0,0,0,21,0,0,0,0,0
TRINITY_DN3653_c0_g1,8,17,8,7,6,4,3,11,11,26,5,2,16,5,2,16,5,8,16,1,15,10,8
TRINITY_DN3655_c0_g1,0,9,2,1,1,6,0,1,9,5,3,1,7,2,0,1,4,6,6,0,13,8,6
TRINITY_DN3656_c0_g1,75,84,123,36,21,46,35,73,32,111,59,60,62,58,83,119,80,86,66,82,90,73,141
TRINITY_DN3657_c0_g1,36,8,21,3,0,14,5,3,3,19,2,15,6,47,26,4,17,5,2,26,0,0,224
TRINITY_DN3658_c0_g1,17,12,9,27,10,4,4,16,4,20,14,3,10,7,17,17,10,21,9,12,24,41,29
TRINITY_DN3659_c0_g1,5,6,9,2,2,1,1,5,2,7,1,4,5,3,3,3,5,4,4,1,4,5,16
TRINITY_DN365_c0_g1,9,9,16,5,3,1,2,10,5,17,4,7,1,2,6,5,5,2,7,7,5,5,14
TRINITY_DN3660_c0_g1,7,3,1,5,2,1,1,8,20,4,8,5,6,4,3,6,3,4,9,3,23,4,5
TRINITY_DN3661_c0_g1,15,15,5,5,6,6,2,5,10,21,10,4,14,9,11,15,12,19,11,19,22,20,6
TRINITY_DN3662_c0_g1,1,0,1,1,1,1,0,0,0,3,1,0,2,1,1,1,1,0,2,4,2,2,2
TRINITY_DN3663_c0_g1,96,90,145,63,68,70,65,65,45,167,29,30,126,147,11,71,116,32,124,47,78,153,104
TRINITY_DN3664_c0_g1,3,0,1,1,2,5,1,4,1,14,1,2,5,0,4,2,2,7,4,2,4,7,7
TRINITY_DN3665_c0_g1,12,16,21,7,10,14,7,16,11,25,10,11,23,12,6,13,10,10,22,11,21,15,18
TRINITY_DN3666_c0_g1,20,12,32,10,17,12,16,23,11,21,7,11,22,15,1,13,7,9,9,11,9,11,1
TRINITY_DN3667_c0_g1,1,3,1,0,1,0,0,6,4,4,0,3,2,0,0,2,1,2,4,2,15,7,1
TRINITY_DN3668_c0_g1,9,7,9,1,1,3,0,6,4,4,2,3,5,7,3,9,11,1,4,4,9,9,10
TRINITY_DN3669_c0_g1,112,147,273,108,136,115,76,177,85,248,30,51,247,158,42,133,106,133,128,28,72,153,188
TRINITY_DN3670_c0_g1,21,24,8,20,16,13,9,23,26,9,7,9,24,9,1,19,13,19,10,11,10,21,18
TRINITY_DN3671_c0_g1,5,7,8,2,0,0,1,8,2,15,11,8,10,6,2,5,5,16,9,1,4,25,9
TRINITY_DN3672_c0_g1,9,11,3,6,6,4,6,10,13,16,2,1,12,5,5,8,7,12,7,3,19,21,8
TRINITY_DN3673_c0_g1,7,8,9,15,7,5,8,13,7,18,6,3,8,12,3,7,6,6,7,4,18,12,14
TRINITY_DN3674_c0_g1,10,20,16,3,4,13,7,14,6,29,9,3,20,9,3,14,17,15,22,5,11,14,6
TRINITY_DN3675_c0_g1,43,78,48,64,81,39,29,68,80,75,29,17,37,49,15,33,32,47,89,16,78,70,41
TRINITY_DN3677_c0_g1,291,193,167,138,170,160,145,116,132,358,160,176,267,265,132,296,276,145,211,206,212,210,231
TRINITY_DN3678_c0_g1,9,10,12,115,4,3,1,7,8,29,6,18,6,19,189,11,16,7,4,3,5,4,390
TRINITY_DN3679_c0_g1,12,11,10,9,6,7,5,12,6,20,5,6,14,14,4,12,11,8,12,7,5,6,6
TRINITY_DN367_c0_g1,122,211,197,48,34,79,43,121,70,181,86,71,111,127,42,205,74,65,53,89,143,149,130
TRINITY_DN3681_c0_g1,2,7,5,2,6,2,3,4,5,12,4,5,10,1,4,1,5,3,0,2,6,1,7
TRINITY_DN3682_c0_g1,0,3,2,0,3,0,0,1,0,2,0,0,0,1,0,1,2,1,0,0,7,1,2
TRINITY_DN3683_c0_g1,91,366,107,181,112,68,66,363,184,539,36,6,313,21,0,102,44,216,194,8,335,515,0
TRINITY_DN3684_c0_g1,20,23,36,18,13,21,35,8,8,35,3,12,20,17,11,17,25,14,14,8,5,17,46
TRINITY_DN3685_c0_g1,3,2,4,1,3,4,2,1,2,11,3,0,5,2,0,3,1,1,5,2,5,18,2
TRINITY_DN3686_c0_g1,7,1,6,1,2,3,3,0,1,3,2,5,5,14,4,7,10,1,1,1,3,2,14
TRINITY_DN3687_c0_g1,10,8,6,8,12,3,8,12,12,13,10,5,18,4,5,4,9,4,14,6,7,9,9
TRINITY_DN3688_c0_g1,2,4,4,2,0,0,3,6,1,9,6,4,5,1,2,4,0,7,3,0,8,6,1
TRINITY_DN3689_c0_g1,141,343,477,1092,142,247,23,104,2,654,70,8,243,281,4287,2339,1106,673,1272,16,403,547,3764
TRINITY_DN368_c0_g1,35,21,30,17,30,27,22,19,20,23,12,11,17,14,5,35,28,26,22,15,17,16,15
TRINITY_DN3690_c0_g1,25,27,28,19,22,13,12,33,17,53,15,20,22,13,3,27,20,38,29,4,23,32,16
TRINITY_DN3691_c0_g1,14,8,4,3,1,4,0,7,4,21,9,1,1,3,3,8,5,3,1,2,9,5,11
TRINITY_DN3692_c0_g1,34,185,61,119,72,28,31,164,66,246,28,2,134,10,0,29,11,107,117,2,234,248,0
TRINITY_DN3693_c0_g1,9,6,5,3,17,9,5,5,7,16,2,2,9,7,1,6,5,4,11,3,11,13,3
TRINITY_DN3694_c0_g1,19,11,20,7,5,7,5,16,16,26,7,7,19,17,5,22,7,12,13,2,14,17,14
TRINITY_DN3695_c0_g1,1,1,0,0,3,0,1,1,0,1,0,2,1,0,0,3,1,0,1,1,0,3,1
TRINITY_DN3696_c0_g1,12,8,8,7,11,6,6,7,8,31,8,5,10,5,4,12,6,7,9,2,10,16,9
TRINITY_DN3697_c0_g1,5,3,1,8,2,2,2,1,8,11,2,2,2,2,1,6,2,4,8,1,1,6,8
TRINITY_DN3698_c0_g1,11,14,15,9,8,7,9,11,6,26,8,1,9,9,12,24,3,11,8,9,9,25,31
TRINITY_DN3699_c0_g1,0,2,1,0,0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0
TRINITY_DN369_c0_g1,10,16,8,5,8,10,7,3,7,20,4,3,9,2,3,9,10,7,18,4,10,11,7
TRINITY_DN3700_c0_g1,1,0,4,1,5,0,3,5,1,16,2,5,10,2,2,9,0,8,3,0,7,13,1
TRINITY_DN3701_c0_g1,5,5,5,4,5,2,4,3,2,7,6,2,8,4,3,17,4,4,4,2,6,5,6
TRINITY_DN3702_c0_g1,4,2,0,1,1,2,0,3,2,7,5,2,7,1,1,1,2,1,2,0,8,3,0
TRINITY_DN3703_c0_g1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,99,31,6,1,6,0,1,0,48
TRINITY_DN3704_c0_g1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,36,0,0,1,0,1,1,1,0
TRINITY_DN3705_c0_g1,81,38,45,29,49,41,41,27,24,37,21,20,57,20,32,54,30,14,54,41,34,36,70
TRINITY_DN3706_c0_g1,1527,1518,1076,2159,1021,405,2367,1059,1467,2788,2103,1001,2903,482,754,582,820,1668,1726,954,2815,683,1978
TRINITY_DN3707_c0_g1,0,0,0,0,0,0,0,0,0,8,11,12,13,0,0,0,0,24,0,0,0,0,0
TRINITY_DN3708_c0_g1,17,21,17,4,9,13,14,14,8,26,8,13,9,14,11,19,9,12,9,7,9,11,12
TRINITY_DN3709_c0_g1,16,22,19,19,9,12,9,31,20,27,18,7,21,6,14,16,16,19,26,11,29,23,15
TRINITY_DN3710_c0_g1,7,4,8,12,11,6,9,8,7,14,5,3,12,2,2,4,3,5,10,8,12,10,8
TRINITY_DN3711_c0_g1,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,13,0,0,0,0,0
TRINITY_DN3712_c0_g1,1044,1244,895,915,798,805,321,1850,983,2593,5855,858,1642,1230,915,1438,622,2415,1946,1227,5975,2073,1252
TRINITY_DN3713_c0_g1,4,2,3,0,0,5,1,0,1,1,1,0,2,3,0,4,1,0,1,1,1,0,1
TRINITY_DN3714_c0_g1,2,6,1,5,6,2,0,4,2,14,1,2,10,1,0,5,3,5,5,0,16,15,0
TRINITY_DN3715_c0_g1,9,2,0,1,5,0,0,13,15,2,1,2,9,0,0,26,0,2,3,3,0,0,0
TRINITY_DN3716_c0_g1,8,7,5,6,5,0,2,1,3,17,6,7,6,7,12,9,5,8,7,2,4,7,18
TRINITY_DN3717_c0_g1,11,58,11,20,12,10,16,23,25,19,2,0,31,6,3,16,16,26,40,0,11,45,11
TRINITY_DN3718_c0_g1,11,3,9,5,3,4,8,4,4,19,5,1,9,18,7,7,14,7,4,3,1,13,7
TRINITY_DN3719_c0_g1,98,102,202,34,51,55,69,119,54,175,32,53,134,97,31,97,111,109,70,32,54,74,122
TRINITY_DN371_c0_g1,17,20,11,5,10,15,9,10,10,19,10,7,18,13,1,19,13,12,22,6,15,25,7
TRINITY_DN3720_c0_g1,13,32,18,22,12,18,10,23,6,14,6,10,19,14,24,52,24,31,22,10,5,18,29
TRINITY_DN3721_c0_g1,66,65,59,14,12,24,13,40,24,66,32,25,34,40,40,59,39,40,38,32,67,40,110
TRINITY_DN3722_c0_g1,3,5,2,2,2,2,3,1,2,12,6,3,10,4,5,8,3,3,5,3,9,8,3
TRINITY_DN3723_c0_g1,8,0,2,12,3,3,2,3,2,7,1,1,3,6,1,3,8,5,9,5,5,5,0
TRINITY_DN3724_c0_g1,20,27,7,19,14,9,5,8,5,94,8,4,0,16,0,0,0,0,19,1,21,30,6
TRINITY_DN3725_c0_g1,5,8,6,1,1,2,3,1,1,8,4,2,6,1,1,9,12,6,4,5,7,4,9
TRINITY_DN3726_c0_g1,2,3,1,4,0,2,0,9,10,14,8,3,13,0,0,1,2,3,3,2,4,6,1
TRINITY_DN3727_c0_g1,0,0,0,0,0,0,0,0,0,1,1,3,6,0,0,0,0,9,0,0,0,0,0
TRINITY_DN3728_c0_g1,12,11,15,11,8,8,7,17,6,28,8,10,27,9,5,14,9,8,20,11,10,17,8
TRINITY_DN3729_c0_g1,0,1,2,1,2,2,0,4,0,2,0,1,9,8,2,9,4,10,3,1,2,1,11
TRINITY_DN3730_c0_g1,1,1,2,1,1,2,1,1,1,2,0,0,0,2,1,0,1,1,0,0,1,1,3
TRINITY_DN3731_c0_g1,11,19,0,21,0,0,0,1,0,29,0,0,9,6,4,1,0,45,3,0,15,73,6
TRINITY_DN3732_c0_g1,6,8,2,5,2,2,1,4,4,4,0,1,5,3,1,3,6,5,2,1,6,5,14
TRINITY_DN3733_c0_g1,18,29,30,11,4,16,10,31,13,38,20,15,19,21,11,13,6,19,30,10,78,34,12
TRINITY_DN3734_c0_g1,7,2,6,3,8,2,0,6,3,7,2,3,1,1,2,2,3,8,6,4,9,7,2
TRINITY_DN3735_c0_g1,33,29,75,15,18,21,12,44,9,44,14,34,42,42,10,40,27,26,19,39,34,30,27
TRINITY_DN3736_c0_g1,22,13,42,8,5,9,5,12,9,45,17,11,9,22,19,27,20,14,15,8,25,14,55
TRINITY_DN3737_c0_g1,43,24,32,30,26,13,8,13,15,61,19,17,32,60,13,41,33,25,34,18,43,56,55
TRINITY_DN3738_c0_g1,7,9,8,1,2,2,0,3,5,6,4,0,2,0,7,3,3,10,3,3,8,3,11
TRINITY_DN3739_c0_g1,33,27,37,8,7,17,4,62,17,43,33,16,33,28,5,36,27,35,24,29,80,37,23
TRINITY_DN373_c0_g1,8,21,4,1,2,1,1,11,1,36,22,3,15,6,0,7,4,14,6,7,34,31,2
TRINITY_DN3740_c0_g1,3,1,5,0,2,2,0,10,3,7,8,5,1,4,0,1,1,0,3,1,19,11,1
TRINITY_DN3741_c0_g1,14,20,13,4,5,6,5,6,6,25,12,6,10,7,9,18,9,20,8,4,17,14,8
TRINITY_DN3742_c0_g1,1,3,2,2,1,0,1,1,2,4,0,0,1,3,2,0,2,2,2,1,3,6,0
TRINITY_DN3743_c0_g1,5,11,2,4,3,3,3,7,6,2,0,0,10,2,3,6,2,3,3,4,10,7,4
TRINITY_DN3744_c0_g1,3,12,13,6,2,1,5,10,8,12,8,5,6,1,3,14,5,10,4,4,12,7,10
TRINITY_DN3745_c0_g1,6,1,8,0,3,4,3,4,4,4,1,2,5,2,2,1,3,0,0,3,4,4,7
TRINITY_DN3746_c0_g1,16,28,16,23,20,14,12,15,16,45,19,7,29,22,6,18,28,13,15,10,23,44,19
TRINITY_DN3747_c0_g1,7,10,2,0,1,2,1,1,8,4,1,2,4,4,13,7,10,4,4,10,8,3,7
TRINITY_DN3748_c0_g1,14,8,10,11,16,8,6,14,16,26,8,7,24,6,5,10,17,8,12,3,5,14,5
TRINITY_DN3749_c0_g1,8,9,5,3,3,1,0,8,4,5,0,2,18,13,2,10,13,4,3,8,2,3,1
TRINITY_DN3750_c0_g1,5,9,2,10,3,2,1,3,5,9,3,2,7,1,10,2,0,3,0,2,4,2,42
TRINITY_DN3753_c0_g1,1,3,2,1,4,3,0,2,2,4,4,2,5,0,0,2,2,4,9,0,1,5,1
TRINITY_DN3754_c0_g1,6,3,2,3,1,1,0,2,2,4,2,2,1,1,1,3,6,2,2,4,6,7,0
TRINITY_DN3755_c0_g1,3,6,2,2,7,2,2,9,3,7,5,2,8,2,1,6,10,5,7,3,4,11,15
TRINITY_DN3756_c0_g1,8,5,6,14,5,6,5,6,8,25,5,4,27,14,7,6,6,5,12,5,17,7,8
TRINITY_DN3757_c0_g1,7,9,1,7,8,4,4,7,2,30,13,5,11,10,10,5,7,8,12,12,10,21,19
TRINITY_DN3758_c0_g1,20,25,23,27,22,19,9,31,20,32,12,12,28,13,6,16,8,12,14,8,20,26,11
TRINITY_DN3759_c0_g1,1,0,1,1,0,0,0,1,4,2,0,0,3,1,0,1,0,1,1,0,1,3,1
TRINITY_DN375_c0_g1,3,5,4,3,1,1,2,5,5,4,3,0,8,1,1,4,5,1,3,1,2,2,5
TRINITY_DN3760_c0_g1,0,5,6,1,3,7,1,0,0,3,1,0,3,0,1,8,1,4,2,1,0,0,4
TRINITY_DN3761_c0_g1,10,19,10,14,9,1,13,12,12,13,9,11,28,6,3,12,9,9,6,7,11,17,8
TRINITY_DN3762_c0_g1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN3763_c0_g1,0,0,0,0,0,0,0,0,0,18,14,8,15,0,0,0,0,32,0,0,0,0,0
TRINITY_DN3764_c0_g1,54,58,54,19,28,40,23,49,34,69,18,16,49,28,19,41,36,40,31,17,38,38,51
TRINITY_DN3765_c0_g1,22,17,12,14,11,8,7,16,22,24,9,3,30,7,5,15,11,14,23,5,9,13,23
TRINITY_DN3766_c0_g1,3,4,0,0,1,0,0,1,0,4,1,0,3,2,0,0,3,1,2,0,0,0,1
TRINITY_DN3767_c0_g1,0,0,0,0,0,0,0,214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN3768_c0_g1,4,23,3,11,0,2,4,4,1,46,6,13,16,8,2,13,4,6,14,1,7,20,11
TRINITY_DN3769_c0_g1,10,29,28,15,16,19,12,19,12,32,5,8,41,11,7,21,22,16,15,6,21,14,10
TRINITY_DN376_c0_g1,7,20,12,3,6,0,4,1,6,25,15,3,7,8,7,11,8,11,14,4,10,13,24
TRINITY_DN3770_c0_g1,42,27,43,10,6,16,14,14,7,30,25,40,12,26,46,38,25,19,20,24,40,35,95
TRINITY_DN3771_c0_g1,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0,0,0,10,0,0,0,0,0
TRINITY_DN3772_c0_g1,14,12,10,7,12,9,7,15,10,21,2,9,24,8,0,16,15,3,17,8,10,6,13
TRINITY_DN3773_c0_g1,23,31,48,27,43,44,30,11,8,47,9,6,42,21,14,20,27,17,18,21,16,24,10
TRINITY_DN3774_c0_g1,4,8,3,1,3,2,5,6,9,12,11,3,7,6,5,5,4,4,4,6,17,17,9
TRINITY_DN3775_c0_g1,3,3,2,1,2,2,1,4,0,14,3,2,1,4,1,3,2,1,2,2,4,9,4
TRINITY_DN3776_c0_g1,29,17,6,6,5,5,4,4,4,17,15,8,23,14,3,2,7,7,0,4,14,19,1
TRINITY_DN3778_c0_g1,0,1,0,0,0,0,0,221,1,486,382,637,1158,0,1,0,25,1206,0,0,1,0,0
TRINITY_DN3779_c0_g1,2,7,6,2,2,1,2,6,7,3,4,1,3,13,0,9,3,6,8,3,15,10,15
TRINITY_DN377_c0_g1,33,29,43,8,4,13,16,28,21,42,28,15,11,44,21,36,26,33,18,15,45,37,22
TRINITY_DN3780_c0_g1,4,4,3,0,1,3,0,6,4,13,11,12,13,0,3,1,8,5,2,4,7,8,2
TRINITY_DN3781_c0_g1,0,8,2,0,0,1,0,1,0,5,0,0,2,2,0,0,0,6,4,1,1,5,1
TRINITY_DN3782_c0_g1,0,0,0,0,0,0,0,27,69,0,0,0,0,68,0,0,0,7,103,0,0,0,0
TRINITY_DN3783_c0_g1,2,1,5,0,0,1,1,2,2,4,2,0,0,3,0,0,1,4,2,8,2,2,2
